created_at,entry_id,field1,field2,field3
2023-07-03 18:21:52 UTC,20,1,27,"6,10,12,5,13,6,12,3"
2023-07-03 18:22:15 UTC,21,1,24,"5,11,13,10,4,6,11,13"
2023-07-03 18:22:34 UTC,22,1,19,"6,9,12,13,5,14,3,3"
2023-07-03 18:22:58 UTC,23,1,26,"5,11,9,12,3,8,3,14"
2023-07-03 18:23:22 UTC,24,1,22,"5,9,12,6,13,12,7,6"
2023-07-03 18:23:42 UTC,25,1,23,"7,5,9,7,12,6,3,3"
2023-07-03 18:24:06 UTC,26,1,25,"5,8,11,8,13,9,2,4"
2023-07-03 18:24:26 UTC,27,1,24,"5,11,13,1,13,3,12,12"
2023-07-03 18:24:47 UTC,28,1,25,"7,11,13,7,3,8,4,15"
2023-07-03 18:25:07 UTC,29,1,25,"4,12,2,12,12,6,1,11"
2023-07-03 18:25:29 UTC,30,1,21,"5,8,12,1,13,2,11,15"
2023-07-03 18:25:58 UTC,31,1,28,"5,10,14,4,12,16,2,3"
2023-07-03 18:26:52 UTC,32,2,32,"5,11,11,10,5,9,7,16"
2023-07-03 18:27:15 UTC,33,2,42,"3,3,12,12,7,6,3,8"
2023-07-03 18:27:36 UTC,34,2,34,"5,11,11,13,4,11,12,5"
2023-07-03 18:27:57 UTC,35,2,30,"4,11,12,13,4,10,8,9"
2023-07-03 18:30:11 UTC,38,2,29,"3,11,10,13,3,6,14,4"
2023-07-03 18:30:34 UTC,39,2,46,"0,2,6,13,5,2,14,13"
2023-07-03 18:30:56 UTC,40,2,23,"2,11,12,13,4,10,7,11"
2023-07-03 18:31:17 UTC,41,2,28,"5,11,9,12,3,10,12,3"
2023-07-03 18:31:39 UTC,42,2,36,"4,7,4,7,12,2,11,6"
2023-07-03 18:33:21 UTC,43,2,22,"9,10,4,12,4,3,12,14"
2023-07-03 18:33:44 UTC,44,2,26,"4,11,11,13,3,10,3,6"
2023-07-03 18:34:08 UTC,45,2,30,"7,10,9,5,6,7,6,4"
2023-07-03 18:34:30 UTC,46,2,31,"5,11,12,6,7,8,14,3"
2023-07-03 18:34:55 UTC,47,2,39,"0,2,13,16,14,6,5,15"
2023-07-03 18:35:18 UTC,48,2,33,"5,11,6,10,5,1,0,11"
2023-07-03 18:37:52 UTC,49,3,39,"4,10,11,6,3,11,2,9"
2023-07-03 18:38:14 UTC,50,3,41,"5,11,13,12,3,11,12,3"
2023-07-03 18:38:36 UTC,51,3,40,"4,11,11,14,1,5,1,13"
