created_at,entry_id,field1,field2,field3
2023-07-05 01:47:20 UTC,1,0,20,"0,1,3,13,2,4,54,15"
2023-07-05 01:47:43 UTC,2,0,14,"10,12,1,2,10,9,54,3"
2023-07-05 01:48:22 UTC,3,0,22,"0,4,1,4,8,1,54,1"
2023-07-05 01:48:52 UTC,4,0,22,"1,7,2,3,20,4,53,9"
2023-07-05 01:49:11 UTC,5,0,22,"0,2,5,14,2,7,53,10"
2023-07-05 01:49:48 UTC,6,0,22,"2,5,15,4,3,10,55,3"
2023-07-05 01:50:24 UTC,7,0,22,"0,1,3,13,6,2,53,14"
2023-07-05 01:51:43 UTC,8,0,24,"1,7,3,15,11,2,54,2"
2023-07-05 01:52:08 UTC,9,0,16,"1,13,14,2,3,2,54,5"
2023-07-05 01:52:40 UTC,10,0,22,"1,4,15,3,2,6,54,4"
2023-07-05 01:53:25 UTC,11,1,32,"0,6,11,1,3,0,54,10"
2023-07-05 01:53:51 UTC,12,1,32,"3,8,8,3,3,2,54,5"
2023-07-05 01:54:17 UTC,13,1,36,"3,4,16,8,2,2,53,3"
2023-07-05 01:54:50 UTC,14,1,44,"0,4,10,3,3,2,54,4"
2023-07-05 01:55:18 UTC,15,1,52,"0,2,14,5,3,5,53,6"
2023-07-05 01:55:49 UTC,16,1,36,"2,5,12,3,3,3,53,7"
2023-07-05 01:56:19 UTC,17,1,44,"0,2,14,5,3,4,53,7"
2023-07-05 01:57:03 UTC,18,1,42,"0,2,10,5,3,4,53,4"
2023-07-05 01:57:34 UTC,19,1,40,"3,6,13,3,10,2,53,3"
2023-07-05 01:58:11 UTC,20,1,38,"3,7,14,2,3,3,54,18"
